hmdb_id;name;ccl;source;inchi;comp_set
HMDB0000955;Isoferulic acid;Phenylpropanoids and polyketides;|Food|Biological;InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+;Gut/Serum
HMDB0000954;Ferulic acid;Phenylpropanoids and polyketides;|Food|Biological;InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+;Gut/Serum
HMDB0000303;Tryptamine;Organoheterocyclic compounds;Unknown;InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2;Gut/Serum
HMDB0000259;Serotonin;Organoheterocyclic compounds;|Endogenous|Food|Biological;InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2;Gut/Serum
HMDB0000684;L-Kynurenine;Organic oxygen compounds;|Endogenous|Food|Biological;InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1;Gut/Serum
HMDB0000071;Deoxyinosine;Nucleosides, nucleotides, and analogues;|Endogenous|Food|Biological;InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)/t5-,6+,7+/m0/s1;Gut/Serum
HMDB0000299;Xanthosine;Nucleosides, nucleotides, and analogues;|Endogenous|Food|Biological;InChI=1S/C10H12N4O6/c15-1-3-5(16)6(17)9(20-3)14-2-11-4-7(14)12-10(19)13-8(4)18/h2-3,5-6,9,15-17H,1H2,(H2,12,13,18,19)/t3-,5-,6-,9-/m1/s1;Gut/Serum
HMDB0000058;Cyclic AMP;Nucleosides, nucleotides, and analogues;|Endogenous|Food|Biological;InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1;Gut/Serum
HMDB0011616;Adenosine 2',3'-cyclic phosphate;Organic oxygen compounds;|Endogenous;InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7-6(4(1-16)19-10)20-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13);Gut/Serum
HMDB0000434;Homoveratric acid;Benzenoids;|Endogenous|Food|Biological;InChI=1S/C10H12O4/c1-13-8-4-3-7(6-10(11)12)5-9(8)14-2/h3-5H,6H2,1-2H3,(H,11,12);Gut/Serum
HMDB0062121;Dihydroferulic acid;Phenylpropanoids and polyketides;|Biological;InChI=1S/C10H12O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13);Gut/Serum
HMDB0000175;Inosinic acid;Nucleosides, nucleotides, and analogues;|Endogenous|Food|Biological;InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1;Gut/Serum
HMDB0000101;Deoxyadenosine;Nucleosides, nucleotides, and analogues;|Endogenous;InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)/t5-,6+,7+/m0/s1;Gut/Serum
HMDB0000085;Deoxyguanosine;Nucleosides, nucleotides, and analogues;|Endogenous|Food|Biological;InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1;Gut/Serum
HMDB0000133;Guanosine;Nucleosides, nucleotides, and analogues;|Endogenous|Food|Biological;InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1;Gut/Serum
HMDB0005199;(R)-Salsolinol;Organoheterocyclic compounds;|Endogenous|Food|Biological;InChI=1S/C10H13NO2/c1-6-8-5-10(13)9(12)4-7(8)2-3-11-6/h4-6,11-13H,2-3H2,1H3;Gut/Serum
HMDB0000273;Thymidine;Nucleosides, nucleotides, and analogues;|Endogenous|Food|Biological;InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1;Gut/Serum
HMDB0240328;2'-O-Methyluridine;Nucleosides, nucleotides, and analogues;Unknown;InChI=1S/C10H14N2O6/c1-17-8-7(15)5(4-13)18-9(8)12-3-2-6(14)11-10(12)16/h2-3,5,7-9,13,15H,4H2,1H3,(H,11,14,16)/t5-,7-,8-,9-/m1/s1;Gut/Serum
HMDB0000884;Ribothymidine;Nucleosides, nucleotides, and analogues;|Endogenous;InChI=1S/C10H14N2O6/c1-4-2-12(10(17)11-8(4)16)9-7(15)6(14)5(3-13)18-9/h2,5-7,9,13-15H,3H2,1H3,(H,11,16,17)/t5-,6-,7-,9-/m1/s1;Gut/Serum
HMDB0000045;Adenosine monophosphate;Nucleosides, nucleotides, and analogues;|Endogenous;InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1;Gut/Serum
HMDB0000982;5-Methylcytidine;Nucleosides, nucleotides, and analogues;|Endogenous;InChI=1S/C10H15N3O5/c1-4-2-13(10(17)12-8(4)11)9-7(16)6(15)5(3-14)18-9/h2,5-7,9,14-16H,3H2,1H3,(H2,11,12,17)/t5-,6-,7-,9-/m1/s1;Gut/Serum
